Sex,Age,Colony
1,5,2
1,9,1
1,9,1
2,9,1
2,9,1
2,9,1
2,9,1
2,9,2
2,9,2
1,10,1
1,11,1
1,11,1
2,11,2
2,11,2
2,11,2
2,11,2
2,11,2
2,12,2
2,12,2
2,12,2
2,13,1
2,13,1
1,13,1
2,13,2
1,13,2
1,13,2
1,13,2
1,13,2
1,13,2
2,13,2
2,13,2
1,14,1
2,14,1
1,14,1
1,14,1
1,14,1
2,14,1
1,14,2
2,14,2
2,14,2
2,14,2
1,15,1
2,15,1
1,15,1
1,15,1
2,15,1
2,15,1
1,15,1
2,15,1
1,15,1
2,15,2
1,15,2
2,15,2
2,15,2
2,15,2
2,15,2
2,15,2
2,15,2
2,16,1
1,16,1
1,16,1
2,16,1
1,16,1
1,16,2
1,16,2
2,17,1
1,17,1
2,17,1
2,17,2
1,17,2
1,17,2
1,17,2
2,18,1
1,18,1
1,18,1
1,18,1
2,18,1
1,18,1
1,18,1
1,18,1
2,18,2
2,18,2
2,18,2
1,18,2
2,18,2
2,18,2
2,19,1
2,19,1
1,19,1
1,19,1
2,19,1
2,19,2
1,19,2
2,19,2
1,19,2
1,19,2
1,19,2
1,20,1
1,20,1
2,20,1
1,20,2
1,20,2
1,20,2
1,21,1
1,21,1
2,21,1
1,21,1
1,21,1
2,21,1
2,21,2
2,21,2
2,21,2
2,21,2
2,21,2
2,22,1
2,22,1
2,22,1
1,22,1
1,22,1
1,22,1
2,22,1
2,22,2
1,23,1
2,23,1
2,23,1
1,23,1
1,23,2
2,24,1
1,24,1
1,24,1
1,24,1
2,24,1
2,24,1
1,24,1
1,24,1
1,24,2
1,24,2
2,24,2
1,25,1
1,25,1
2,25,1
2,25,1
2,25,1
1,25,1
2,25,1
1,25,2
2,25,2
2,26,1
2,26,1
2,26,1
2,26,1
1,26,1
2,26,1
2,26,1
2,26,2
2,27,1
1,27,1
2,27,1
2,27,1
1,27,2
2,27,2
1,28,1
1,28,1
2,28,1
2,28,1
1,28,1
2,28,2
2,28,2
2,29,1
2,29,1
2,29,1
1,29,2
2,29,2
2,30,1
2,30,1
1,30,1
2,30,1
2,30,2
2,30,2
2,30,2
2,30,2
2,31,1
2,32,1
2,32,2
2,33,1
2,33,1
2,33,2
2,34,1
1,34,1
1,34,1
2,34,1
1,34,1
2,34,2
2,35,1
2,35,1
1,36,1
1,36,1
2,36,2
1,37,1
1,37,1
1,37,1
2,37,2
1,37,2
2,38,1
2,38,1
2,38,1
2,38,1
1,38,1
2,38,2
2,39,1
2,39,1
2,39,1
1,39,1
2,39,1
2,39,2
2,39,2
2,40,1
2,40,1
1,40,1
2,40,2
2,40,2
2,41,1
2,41,1
2,41,1
2,42,1
2,42,1
2,42,1
1,43,1
2,43,1
2,44,1
1,44,1
2,44,1
1,44,1
2,44,1
2,44,2
2,44,2
2,45,1
2,46,1
2,46,1
1,46,1
2,49,2
2,49,2
2,50,1
